"","codmun7","municipio","espvida","gini","rdpc","pop","idhm","idhm_e","idhm_l","idhm_r","G01_QTD_EMP","G01_QTD_VINC","G02_QTD_EMP","G02_QTD_VINC","G03_QTD_EMP","G03_QTD_VINC","G04_QTD_EMP","G04_QTD_VINC","G05_QTD_EMP","G05_QTD_VINC","G06_QTD_EMP","G06_QTD_VINC","G07_QTD_EMP","G07_QTD_VINC","G08_QTD_EMP","G08_QTD_VINC","G09_QTD_EMP","G09_QTD_VINC","G10_QTD_EMP","G10_QTD_VINC","G11_QTD_EMP","G11_QTD_VINC","G12_QTD_EMP","G12_QTD_VINC","G13_QTD_EMP","G13_QTD_VINC","G14_QTD_EMP","G14_QTD_VINC","Geral_QTD_EMP","Geral_QTD_VINC"
"1",3500105,"ADAMANTINA",76.13,0.51,975.43,33490,0.79,0.75,0.852,0.772,14,48,15,37,2,0,13,0,40,78,1,0,1,1,0,0,1,2,6,22,0,0,0,0,4,0,27,932,2454,10305
"2",3500204,"ADOLFO",75.62,0.38,661.65,3557,0.73,0.648,0.844,0.71,2,1,1,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,949
"3",3500303,"AGUAÍ",76.49,0.47,636.07,32089,0.715,0.606,0.858,0.703,4,129,3,1,3,32,11,49,9,25,2,648,0,0,0,0,0,0,0,0,3,32,0,0,1,0,5,83,1832,7223
"4",3500402,"ÁGUAS DA PRATA",78.13,0.52,853.39,7510,0.781,0.716,0.886,0.75,1,0,0,0,0,0,37,86,2,2,4,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,468,1016
"5",3500501,"ÁGUAS DE LINDÓIA",75.76,0.43,730.13,17120,0.745,0.675,0.846,0.725,3,8,5,7,0,0,10,19,19,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,140,374,1334,4704
"6",3500550,"ÁGUAS DE SANTA BÁRBARA",75.41,0.48,818.15,5583,0.757,0.695,0.84,0.744,1,2,3,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,481,1562
"7",3500600,"ÁGUAS DE SÃO PEDRO",78.37,0.54,1580.72,2680,0.854,0.825,0.89,0.849,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,21,287,1375
"8",3500709,"AGUDOS",75.67,0.41,642.59,34140,0.745,0.694,0.845,0.705,10,206,13,33,0,0,1,2,27,60,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,77,1440,9117
"9",3500758,"ALAMBARI",73.27,0.44,556.36,4863,0.712,0.658,0.805,0.682,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,111,247,997
"10",3500808,"ALFREDO MARCONDES",75.41,0.36,558.38,3885,0.741,0.71,0.84,0.682,2,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,895
"11",3500907,"ALTAIR",73,0.42,616.38,3795,0.687,0.581,0.8,0.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,736
"12",3501004,"ALTINÓPOLIS",75.57,0.45,731.49,15527,0.73,0.635,0.843,0.726,2,1,9,5,0,0,141,745,11,4,1,0,0,0,0,0,2,2,0,0,1,0,0,0,4,9,11,1,1284,3745
"13",3501103,"ALTO ALEGRE",74,0.35,560.3,4102,0.7,0.616,0.817,0.683,0,0,3,0,8,0,66,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1042,481
"14",3501152,"ALUMÍNIO",75.47,0.42,747.27,16753,0.766,0.732,0.841,0.729,1,3,1,19,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,372,6423
"15",3501202,"ÁLVARES FLORENCE",73.35,0.41,627.14,3897,0.728,0.683,0.806,0.701,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,267,502
"16",3501301,"ÁLVARES MACHADO",75.03,0.46,672.03,23494,0.758,0.732,0.834,0.712,7,7,8,70,0,0,0,0,20,27,0,0,0,0,0,0,1,33,0,0,0,0,1,0,0,0,6,1,1184,3340
"17",3501400,"ÁLVARO DE CARVALHO",73.31,0.38,512.99,3294,0.688,0.605,0.805,0.669,0,0,0,0,0,0,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,366
"18",3501509,"ALVINLÂNDIA",72.48,0.53,710.49,2993,0.722,0.659,0.791,0.721,0,0,0,0,0,0,16,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,337
"19",3501608,"AMERICANA",77.55,0.47,1161.68,209811,0.811,0.76,0.876,0.8,88,455,126,254,0,0,0,0,393,542,8,25,8,104,4,5,0,0,18,344,1,1,3,48,14,0,437,3321,15642,72602
"20",3501707,"AMÉRICO BRASILIENSE",76.12,0.39,659.67,34381,0.751,0.701,0.852,0.709,3,19,24,56,0,0,0,0,16,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1034,9607
"21",3501806,"AMÉRICO DE CAMPOS",74.04,0.43,686.56,5697,0.745,0.708,0.817,0.715,2,5,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,302,610
"22",3501905,"AMPARO",77.27,0.5,1027.6,65521,0.785,0.711,0.871,0.78,17,96,30,302,3,0,155,176,84,388,8,291,1,158,0,0,2,33,5,40,4,41,0,0,0,0,59,464,3988,23836
"23",3502002,"ANALÂNDIA",76.66,0.53,823.33,4254,0.754,0.668,0.861,0.745,4,3,1,1,1,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,351,1056
"24",3502101,"ANDRADINA",78.07,0.51,919.36,54242,0.779,0.702,0.885,0.762,5,42,22,60,0,0,0,0,47,150,0,0,0,0,0,0,1,0,1,8,0,0,0,0,2,0,8,17,3339,15973
"25",3502200,"ANGATUBA",74.6,0.45,597.99,22134,0.719,0.648,0.827,0.693,1,0,3,0,1,3,0,0,13,24,0,0,0,0,0,0,1,444,0,0,3,6,0,0,1,0,6,64,1361,5293
"26",3502309,"ANHEMBI",76.78,0.42,554.16,5554,0.721,0.637,0.863,0.681,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,1073
"27",3502408,"ANHUMAS",75.67,0.42,561.82,3710,0.741,0.706,0.845,0.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,477
"28",3502507,"APARECIDA",74.67,0.46,775.17,34630,0.755,0.706,0.828,0.735,2,3,2,1,0,0,0,0,67,161,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,13,102,2616,11496
"29",3502606,"APARECIDA D'OESTE",73.25,0.47,611.22,4423,0.721,0.67,0.804,0.697,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,146,691
"30",3502705,"APIAÍ",75.07,0.55,492.43,25062,0.71,0.647,0.835,0.662,0,0,4,342,0,0,0,0,8,82,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,4,87,1134,4800
"31",3502754,"ARAÇARIGUAMA",73.86,0.46,691.69,16922,0.704,0.597,0.814,0.717,1,0,6,7,0,0,0,0,11,39,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,983,9837
"32",3502804,"ARAÇATUBA",75.46,0.52,1036.09,180537,0.788,0.744,0.841,0.782,70,312,57,269,11,17,0,0,199,390,11,40,0,0,0,0,4,737,22,471,19,50,2,45,14,2,78,237,11597,52405
"33",3502903,"ARAÇOIABA DA SERRA",76.61,0.52,853.87,27189,0.776,0.723,0.86,0.751,3,19,10,15,2,1,0,0,14,30,7,430,0,0,0,0,2,8,1,24,1,0,0,0,0,0,1,12,1550,5866
"34",3503000,"ARAMINA",76.34,0.43,721.56,5152,0.74,0.656,0.856,0.723,1,0,1,0,0,0,0,0,5,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,249,763
"35",3503109,"ARANDU",73.36,0.39,535.27,6074,0.685,0.592,0.806,0.675,1,0,0,0,4,21,16,137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,303,1370
"36",3503158,"ARAPEÍ",73.72,0.39,414.19,2492,0.68,0.612,0.812,0.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,387
"37",3503208,"ARARAQUARA",77.64,0.5,1080.66,206646,0.815,0.782,0.877,0.788,44,148,81,443,0,0,0,0,222,659,10,19,11,26,1,0,3,478,34,202,2,2,5,209,24,5,66,1103,13245,75690
"38",3503307,"ARARAS",76.55,0.47,921.76,117824,0.781,0.728,0.859,0.763,42,282,68,540,0,0,4,84,112,297,6,252,1,0,0,0,2,1925,4,37,1,0,8,101,7,0,25,39,7337,39056
"39",3503356,"ARCO-ÍRIS",73.52,0.4,520.01,1917,0.722,0.694,0.809,0.671,2,3,1,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,108,327
"40",3503406,"AREALVA",75.37,0.45,697.3,7817,0.744,0.683,0.84,0.718,2,1,3,1,6,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,10,57,970,1521
"41",3503505,"AREIAS",73.18,0.44,396.78,3636,0.697,0.672,0.803,0.627,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,125,605
"42",3503604,"AREIÓPOLIS",74.37,0.36,570.09,10547,0.695,0.594,0.823,0.686,0,0,0,0,0,0,4,1,5,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,313,1247
"43",3503703,"ARIRANHA",73.75,0.4,751.35,8532,0.733,0.663,0.813,0.73,7,48,2,5,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,459,3553
"44",3503802,"ARTUR NOGUEIRA",74.63,0.46,823.24,44074,0.749,0.681,0.827,0.745,6,20,25,186,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,13,389,2066,9125
"45",3503901,"ARUJÁ",76.95,0.56,910.67,74649,0.784,0.73,0.866,0.761,10,236,18,14,0,0,0,0,38,149,3,71,2,21,0,0,0,0,3,258,0,0,0,0,3,1,35,395,3175,24611
"46",3503950,"ASPÁSIA",76.83,0.44,619.43,1806,0.735,0.657,0.864,0.699,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,199,219
"47",3504008,"ASSIS",76.91,0.5,967.39,93038,0.805,0.781,0.865,0.771,15,68,55,855,0,0,0,0,72,240,15,73,0,0,3,17,1,0,4,5,2,5,0,0,11,0,16,38,5921,22443
"48",3504107,"ATIBAIA",76.03,0.53,1063.52,125501,0.765,0.67,0.851,0.786,37,184,43,123,0,0,1,0,114,280,8,59,8,96,2,61,3,18,11,39,1,0,4,133,15,0,43,306,9038,41050
"49",3504206,"AURIFLAMA",75.41,0.47,829.68,14153,0.773,0.738,0.84,0.746,8,6,3,9,0,0,2,0,31,20,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,99,605,1399,2583
"50",3504305,"AVAÍ",74.77,0.47,531.2,4915,0.714,0.65,0.83,0.674,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,268,1328
"51",3504404,"AVANHANDAVA",74,0.42,579.71,10128,0.705,0.623,0.817,0.688,2,2,3,21,1,0,1,0,5,21,0,0,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,738,1764
"52",3504503,"AVARÉ",76.97,0.47,854.42,80833,0.767,0.695,0.866,0.751,16,57,27,255,3,86,2,3,67,149,4,9,0,0,0,0,1,39,5,8,1,0,0,0,8,0,54,1977,4441,22410
"53",3504602,"BADY BASSITT",73.31,0.36,783.57,14593,0.746,0.701,0.805,0.737,2,0,10,9,0,0,0,0,17,8,2,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,27,1073,3065
"54",3504701,"BALBINOS",73.55,0.38,586.02,1365,0.669,0.537,0.809,0.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,377
"55",3504800,"BÁLSAMO",75.08,0.44,832.51,8145,0.756,0.695,0.835,0.746,8,77,2,0,0,0,14,2,8,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,765,1476
"56",3504909,"BANANAL",77.29,0.51,595.74,10154,0.733,0.653,0.872,0.693,0,0,8,98,3,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,1658
"57",3505005,"BARÃO DE ANTONINA",74.22,0.47,536.63,3085,0.711,0.649,0.82,0.676,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,202,122,585
"58",3505104,"BARBOSA",75.57,0.4,536.37,6414,0.699,0.599,0.843,0.676,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,26,57,0,0,0,0,1,1,299,629
"59",3505203,"BARIRI",77.04,0.42,781.34,31448,0.75,0.662,0.867,0.736,0,0,4,0,0,0,3,2,39,123,3,16,2,2,0,0,1,0,7,23,7,89,0,0,0,0,37,441,1681,8894
"60",3505302,"BARRA BONITA",77.12,0.45,915.28,35157,0.788,0.739,0.869,0.762,7,42,6,24,0,0,0,0,52,177,2,12,0,0,0,0,1,0,0,0,15,211,1,6,5,0,17,52,2106,11306
"61",3505351,"BARRA DO CHAPÉU",71.72,0.54,370.97,5241,0.66,0.599,0.779,0.617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,738
"62",3505401,"BARRA DO TURVO",72.53,0.5,390.88,7667,0.641,0.532,0.792,0.625,0,0,0,0,0,0,0,0,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,689
"63",3505500,"BARRETOS",77.5,0.48,917,111603,0.789,0.738,0.875,0.762,20,41,49,270,1,0,0,0,105,177,10,538,2,4,0,0,4,16,8,80,1,0,0,0,5,5,34,88,8222,32463
"64",3505609,"BARRINHA",74.74,0.4,668.32,28487,0.725,0.646,0.829,0.711,5,0,8,0,0,0,0,0,16,27,0,0,1,5,0,0,0,0,0,0,4,13,0,0,2,0,3,0,1205,3914
"65",3505708,"BARUERI",76.96,0.61,1095.84,240055,0.786,0.708,0.866,0.791,45,564,82,432,0,0,0,0,231,1371,7,205,2,22,6,44,1,41,12,439,0,0,3,21,16,10,79,979,21845,275570
"66",3505807,"BASTOS",75.86,0.41,609.76,20415,0.751,0.718,0.848,0.696,2,6,14,375,0,0,0,0,27,26,6,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1082,7221
"67",3505906,"BATATAIS",75.41,0.5,941.79,56264,0.761,0.685,0.84,0.766,21,197,59,920,0,0,64,90,38,58,1,7,7,25,0,0,2,5,9,45,0,0,1,7,4,0,52,570,3419,15850
"68",3506003,"BAURU",76.26,0.55,1163.86,339422,0.801,0.752,0.854,0.8,72,224,73,236,2,0,0,0,355,973,16,60,6,18,1,96,1,0,26,126,1,4,5,37,17,17,82,450,18919,128780
"69",3506102,"BEBEDOURO",76.16,0.51,881.64,74728,0.78,0.735,0.853,0.756,11,11,31,486,0,0,0,0,57,136,5,64,0,0,1,10,1,90,2,4,0,0,1,0,16,1,20,71,4603,28967
"70",3506201,"BENTO DE ABREU",74.17,0.38,647.1,2674,0.744,0.712,0.82,0.706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,880
"71",3506300,"BERNARDINO DE CAMPOS",75.26,0.45,676.6,10650,0.734,0.662,0.838,0.713,2,2,2,1,0,0,54,8,10,29,1,0,0,0,0,0,1,343,0,0,0,0,0,0,0,0,20,310,1054,2573
"72",3506359,"BERTIOGA",74.03,0.48,736.03,47239,0.73,0.654,0.817,0.727,8,13,4,1,0,0,0,0,23,46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5,0,2812,13533
"73",3506409,"BILAC",75.7,0.43,816.06,7019,0.768,0.722,0.845,0.743,2,10,4,120,0,0,1,1,20,24,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,7,4,477,1459
"74",3506508,"BIRIGUI",77.14,0.42,812.51,108248,0.78,0.734,0.869,0.743,42,613,17,322,0,0,8,3,848,7577,3,1,15,19,0,0,0,0,4,6,5,15,6,198,3,0,171,555,6711,30662
"75",3506607,"BIRITIBA-MIRIM",72.7,0.53,662.23,28531,0.712,0.64,0.795,0.71,1,8,2,83,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,3511
"76",3506706,"BOA ESPERANÇA DO SUL",73.63,0.44,593.36,13617,0.681,0.562,0.811,0.692,1,2,20,19,0,0,0,0,4,3,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,27,720,2654
"77",3506805,"BOCAINA",75.41,0.42,805.99,10717,0.742,0.656,0.84,0.741,0,0,5,1,0,0,4,10,8,8,1,2,0,0,0,0,1,42,0,0,0,0,0,0,0,0,21,42,734,3350
"78",3506904,"BOFETE",74.23,0.46,622.11,9618,0.705,0.609,0.821,0.7,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,351,1940
"79",3507001,"BOITUVA",76.67,0.49,889.51,48145,0.78,0.728,0.861,0.757,17,147,30,73,1,2,2,2,43,164,3,0,5,138,0,0,2,1,7,114,1,0,6,95,1,0,20,122,3054,21532
"80",3507100,"BOM JESUS DOS PERDÕES",73.1,0.41,688.02,19689,0.713,0.631,0.802,0.716,5,24,7,11,0,0,0,0,11,30,0,0,0,0,0,0,1,175,1,0,0,0,0,0,0,0,32,373,873,5425
"81",3507159,"BOM SUCESSO DE ITARARÉ",71.49,0.44,344.32,3549,0.66,0.613,0.775,0.605,0,0,1,6,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,651
"82",3507209,"BORÁ",76.77,0.4,670.27,805,0.746,0.675,0.863,0.712,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,787
"83",3507308,"BORACÉIA",76.93,0.38,719.42,4265,0.754,0.685,0.866,0.723,1,58,1,2,0,0,1,1,4,5,1,0,1,7,0,0,0,0,0,0,1,3,0,0,0,0,9,52,258,1417
"84",3507407,"BORBOREMA",74.83,0.42,664.64,14416,0.73,0.658,0.831,0.71,3,9,1,0,2,0,2,0,8,9,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,42,1421,2738
"85",3507456,"BOREBI",75.73,0.39,529.08,2275,0.705,0.615,0.846,0.674,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,769
"86",3507506,"BOTUCATU",77.13,0.54,1089.1,126813,0.8,0.746,0.869,0.79,22,79,33,72,0,0,21,23,110,235,9,142,3,36,0,0,0,0,7,32,0,0,6,1608,4,2,39,259,6692,42263
"87",3507605,"BRAGANÇA PAULISTA",76.67,0.52,974.08,145407,0.776,0.704,0.861,0.772,24,58,57,132,2,0,32,41,130,549,6,342,31,599,1,3,2,87,25,731,34,168,2,44,4,0,99,963,9221,45109
"88",3507704,"BRAÚNA",74.77,0.43,726.71,4997,0.737,0.664,0.83,0.725,2,48,0,0,1,0,4,1,8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,505
"89",3507753,"BREJO ALEGRE",74.54,0.39,631.02,2551,0.71,0.618,0.826,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,520
"90",3507803,"BRODOWSKI",76.81,0.44,787.91,21023,0.755,0.675,0.864,0.738,19,119,5,0,1,0,14,11,22,18,2,17,2,0,0,0,3,29,0,0,0,0,0,0,1,0,39,394,1744,5468
"91",3507902,"BROTAS",73.9,0.41,722.76,21515,0.74,0.688,0.815,0.724,3,0,8,17,0,0,12,23,12,33,3,0,0,0,0,0,3,14,2,20,0,0,0,0,1,0,2,8,2006,7110
"92",3508009,"BURI",72.94,0.5,435.15,18489,0.667,0.578,0.799,0.642,0,0,4,5,0,0,0,0,7,127,0,0,0,0,0,0,1,19,1,14,1,0,0,0,3,0,2,13,1197,4964
"93",3508108,"BURITAMA",75.31,0.44,779.78,15350,0.763,0.72,0.839,0.736,3,9,6,4,0,0,0,0,9,10,1,0,0,0,1,4,1,6,0,0,2,74,0,0,3,3,5,0,1275,3724
"94",3508207,"BURITIZAL",74.79,0.46,817.16,4049,0.735,0.643,0.83,0.743,3,8,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,344,1787
"95",3508306,"CABRÁLIA PAULISTA",73.68,0.4,507.41,4356,0.694,0.619,0.811,0.667,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,327,819
"96",3508405,"CABREÚVA",74.67,0.42,694.03,41489,0.738,0.678,0.828,0.717,7,88,13,31,0,0,2,1,21,139,2,3,1,2,0,0,0,0,0,0,28,298,3,19,0,0,12,485,1647,14745
"97",3508504,"CAÇAPAVA",76.5,0.5,871.87,84377,0.788,0.755,0.858,0.754,4,1,19,135,0,0,1,3,61,243,1,132,4,23,0,0,0,0,3,0,2,45,5,231,0,0,7,80,2921,22083
"98",3508603,"CACHOEIRA PAULISTA",75.19,0.52,764.6,29922,0.764,0.728,0.837,0.733,2,2,6,10,1,0,0,0,10,15,0,0,0,0,0,0,1,0,0,0,3,90,0,0,0,0,3,15,1103,5256
"99",3508702,"CACONDE",76.45,0.5,627,18434,0.72,0.62,0.858,0.701,1,0,6,5,3,0,2089,327,9,19,0,0,0,0,0,0,2,14,1,0,1,0,0,0,1,0,12,25,3221,2017
"100",3508801,"CAFELÂNDIA",77.01,0.46,680.71,16509,0.742,0.661,0.867,0.714,1,3,2,0,0,0,10,25,21,11,2,16,1,4,0,0,0,0,0,0,0,0,0,0,1,0,17,406,1244,3921
"101",3508900,"CAIABU",74.37,0.37,559.13,4055,0.729,0.691,0.823,0.682,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,135,355
"102",3509007,"CAIEIRAS",76.68,0.47,800.15,86294,0.781,0.749,0.861,0.74,14,18,28,1171,0,0,0,0,46,83,2,19,2,41,0,0,0,0,8,68,0,0,0,0,2,0,37,157,2957,20815
"103",3509106,"CAIUÁ",73.13,0.45,500.47,4871,0.697,0.635,0.802,0.665,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,546
"104",3509205,"CAJAMAR",73.59,0.43,676.5,64040,0.728,0.668,0.81,0.713,22,271,29,31,1,0,0,0,59,353,4,116,2,0,0,0,0,0,4,72,1,5,1,3,3,5,14,152,3208,42474
"105",3509254,"CAJATI",74.89,0.47,481.48,28207,0.694,0.611,0.832,0.658,1,0,2,3,80,652,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,742,6690
