"","CO_UF","NO_UF","SGL_UF","CO_MESORREGIAO","DS_MESORREGIAO","CO_MICRORREGIAO","DS_MICRORREGIAO","CO_MUNICIPIO_P","CO_MUNICIPIO","NOME_MUNICIPIO.x","LATITUDE","LONGITUDE","NOME_MUNICIPIO.y","QTD"
"1","35","São Paulo","SP","08","Presidente Prudente","035","Adamantina","00105",3500105,"Adamantina","-21.682","-51.0737",,
"2","35","São Paulo","SP","01","São José do Rio Preto","004","São José do Rio Preto","00204",3500204,"Adolfo","-21.2325","-49.6451",,
"3","35","São Paulo","SP","07","Campinas","029","Pirassununga","00303",3500303,"Aguaí","-22.0572","-46.9735","Aguaí",3
"4","35","São Paulo","SP","07","Campinas","030","São João da Boa Vista","00402",3500402,"Águas da Prata","-21.9319","-46.7176",,
"5","35","São Paulo","SP","07","Campinas","033","Amparo","00501",3500501,"Águas de Lindóia","-22.4733","-46.6314",,
"6","35","São Paulo","SP","04","Bauru","022","Avaré","00550",3500550,"Águas de Santa Bárbara","-22.8812","-49.2421",,
"7","35","São Paulo","SP","06","Piracicaba","028","Piracicaba","00600",3500600,"Águas de São Pedro","-22.5977","-47.8734",,
"8","35","São Paulo","SP","04","Bauru","020","Bauru","00709",3500709,"Agudos","-22.4694","-48.9863",,
"9","35","São Paulo","SP","11","Itapetininga","042","Itapetininga","00758",3500758,"Alambari","-23.5503","-47.898",,
"10","35","São Paulo","SP","08","Presidente Prudente","036","Presidente Prudente","00808",3500808,"Alfredo Marcondes","-21.9527","-51.414",,
"11","35","São Paulo","SP","01","São José do Rio Preto","004","São José do Rio Preto","00907",3500907,"Altair","-20.5242","-49.0571",,
"12","35","São Paulo","SP","02","Ribeirão Preto","015","Batatais","01004",3501004,"Altinópolis","-21.0214","-47.3712","Altinópolis",1
"13","35","São Paulo","SP","03","Araçatuba","018","Birigui","01103",3501103,"Alto Alegre","-21.5811","-50.168",,
"14","35","São Paulo","SP","12","Macro Metropolitana Paulista","046","Sorocaba","01152",3501152,"Alumínio","-23.5306","-47.2546",,
"15","35","São Paulo","SP","01","São José do Rio Preto","003","Votuporanga","01202",3501202,"Álvares Florence","-20.3203","-49.9141",,
"16","35","São Paulo","SP","08","Presidente Prudente","036","Presidente Prudente","01301",3501301,"Álvares Machado","-22.0764","-51.4722",,
"17","35","São Paulo","SP","09","Marília","038","Marília","01400",3501400,"Álvaro de Carvalho","-22.0841","-49.719",,
"18","35","São Paulo","SP","09","Marília","038","Marília","01509",3501509,"Alvinlândia","-22.4435","-49.7623",,
"19","35","São Paulo","SP","07","Campinas","032","Campinas","01608",3501608,"Americana","-22.7374","-47.3331","Americana",1
"20","35","São Paulo","SP","05","Araraquara","024","Araraquara","01707",3501707,"Américo Brasiliense","-21.7288","-48.1147",,
"21","35","São Paulo","SP","01","São José do Rio Preto","003","Votuporanga","01806",3501806,"Américo de Campos","-20.2985","-49.7359",,
"22","35","São Paulo","SP","07","Campinas","033","Amparo","01905",3501905,"Amparo","-22.7088","-46.772","Amparo",4
"23","35","São Paulo","SP","05","Araraquara","025","São Carlos","02002",3502002,"Analândia","-22.1289","-47.6619",,
"24","35","São Paulo","SP","03","Araçatuba","016","Andradina","02101",3502101,"Andradina","-20.8948","-51.3786",,
"25","35","São Paulo","SP","11","Itapetininga","042","Itapetininga","02200",3502200,"Angatuba","-23.4917","-48.4139","Angatuba",3
"26","35","São Paulo","SP","04","Bauru","023","Botucatu","02309",3502309,"Anhembi","-22.793","-48.1336",,
"27","35","São Paulo","SP","08","Presidente Prudente","036","Presidente Prudente","02408",3502408,"Anhumas","-22.2934","-51.3895",,
"28","35","São Paulo","SP","13","Vale do Paraíba Paulista","051","Guaratinguetá","02507",3502507,"Aparecida","-22.8495","-45.2325",,
"29","35","São Paulo","SP","01","São José do Rio Preto","001","Jales","02606",3502606,"Aparecida d'Oeste","-20.4487","-50.8835",,
"30","35","São Paulo","SP","11","Itapetininga","044","Capão Bonito","02705",3502705,"Apiaí","-24.5108","-48.8443",,
"31","35","São Paulo","SP","12","Macro Metropolitana Paulista","046","Sorocaba","02754",3502754,"Araçariguama","-23.4366","-47.0608",,
"32","35","São Paulo","SP","03","Araçatuba","017","Araçatuba","02804",3502804,"Araçatuba","-21.2076","-50.4401","Araçatuba",19
"33","35","São Paulo","SP","12","Macro Metropolitana Paulista","046","Sorocaba","02903",3502903,"Araçoiaba da Serra","-23.5029","-47.6166","Araçoiaba da Serra",1
"34","35","São Paulo","SP","02","Ribeirão Preto","011","Ituverava","03000",3503000,"Aramina","-20.0882","-47.7873",,
"35","35","São Paulo","SP","04","Bauru","022","Avaré","03109",3503109,"Arandu","-23.1386","-49.0487",,
"36","35","São Paulo","SP","13","Vale do Paraíba Paulista","052","Bananal","03158",3503158,"Arapeí","-22.6717","-44.4441",,
"37","35","São Paulo","SP","05","Araraquara","024","Araraquara","03208",3503208,"Araraquara","-21.7845","-48.178","Araraquara",2
"38","35","São Paulo","SP","06","Piracicaba","027","Limeira","03307",3503307,"Araras","-22.3572","-47.3842","Araras",1
"39","35","São Paulo","SP","09","Marília","037","Tupã","03356",3503356,"Arco-Íris","-21.7728","-50.466","Arco-Íris",1
"40","35","São Paulo","SP","04","Bauru","020","Bauru","03406",3503406,"Arealva","-22.031","-48.9135",,
"41","35","São Paulo","SP","13","Vale do Paraíba Paulista","052","Bananal","03505",3503505,"Areias","-22.5786","-44.6992",,
"42","35","São Paulo","SP","04","Bauru","020","Bauru","03604",3503604,"Areiópolis","-22.6672","-48.6681",,
"43","35","São Paulo","SP","01","São José do Rio Preto","005","Catanduva","03703",3503703,"Ariranha","-21.1872","-48.7904",,
"44","35","São Paulo","SP","07","Campinas","031","Mogi Mirim","03802",3503802,"Artur Nogueira","-22.5727","-47.1727","Artur Nogueira",2
"45","35","São Paulo","SP","15","Metropolitana de São Paulo","059","Guarulhos","03901",3503901,"Arujá","-23.3965","-46.32",,
"46","35","São Paulo","SP","01","São José do Rio Preto","001","Jales","03950",3503950,"Aspásia","-20.16","-50.728",,
"47","35","São Paulo","SP","10","Assis","039","Assis","04008",3504008,"Assis","-22.66","-50.4183","Assis",2
"48","35","São Paulo","SP","12","Macro Metropolitana Paulista","048","Bragança Paulista","04107",3504107,"Atibaia","-23.1171","-46.5563","Atibaia",1
"49","35","São Paulo","SP","01","São José do Rio Preto","006","Auriflama","04206",3504206,"Auriflama","-20.6836","-50.5572",,
"50","35","São Paulo","SP","04","Bauru","020","Bauru","04305",3504305,"Avaí","-22.1514","-49.3356",,
"51","35","São Paulo","SP","03","Araçatuba","018","Birigui","04404",3504404,"Avanhandava","-21.4584","-49.9509","Avanhandava",6
"52","35","São Paulo","SP","04","Bauru","022","Avaré","04503",3504503,"Avaré","-23.1067","-48.9251","Avaré",1
"53","35","São Paulo","SP","01","São José do Rio Preto","004","São José do Rio Preto","04602",3504602,"Bady Bassitt","-20.9197","-49.4385",,
"54","35","São Paulo","SP","04","Bauru","020","Bauru","04701",3504701,"Balbinos","-21.8963","-49.3619",,
"55","35","São Paulo","SP","01","São José do Rio Preto","004","São José do Rio Preto","04800",3504800,"Bálsamo","-20.7348","-49.5865",,
"56","35","São Paulo","SP","13","Vale do Paraíba Paulista","052","Bananal","04909",3504909,"Bananal","-22.6819","-44.3281",,
"57","35","São Paulo","SP","11","Itapetininga","041","Itapeva","05005",3505005,"Barão de Antonina","-23.6284","-49.5634",,
"58","35","São Paulo","SP","03","Araçatuba","018","Birigui","05104",3505104,"Barbosa","-21.2657","-49.9518","Barbosa",26
"59","35","São Paulo","SP","04","Bauru","021","Jaú","05203",3505203,"Bariri","-22.073","-48.7438","Bariri",7
"60","35","São Paulo","SP","04","Bauru","021","Jaú","05302",3505302,"Barra Bonita","-22.4909","-48.5583","Barra Bonita",15
"61","35","São Paulo","SP","11","Itapetininga","044","Capão Bonito","05351",3505351,"Barra do Chapéu","-24.4722","-49.0238",,
"62","35","São Paulo","SP","14","Litoral Sul Paulista","055","Registro","05401",3505401,"Barra do Turvo","-24.759","-48.5013",,
"63","35","São Paulo","SP","02","Ribeirão Preto","009","Barretos","05500",3505500,"Barretos","-20.5531","-48.5698","Barretos",1
"64","35","São Paulo","SP","02","Ribeirão Preto","014","Ribeirão Preto","05609",3505609,"Barrinha","-21.1864","-48.1636","Barrinha",4
"65","35","São Paulo","SP","15","Metropolitana de São Paulo","057","Osasco","05708",3505708,"Barueri","-23.5057","-46.879",,
"66","35","São Paulo","SP","09","Marília","037","Tupã","05807",3505807,"Bastos","-21.921","-50.7357",,
"67","35","São Paulo","SP","02","Ribeirão Preto","015","Batatais","05906",3505906,"Batatais","-20.8929","-47.5921",,
"68","35","São Paulo","SP","04","Bauru","020","Bauru","06003",3506003,"Bauru","-22.3246","-49.0871","Bauru",1
"69","35","São Paulo","SP","02","Ribeirão Preto","013","Jaboticabal","06102",3506102,"Bebedouro","-20.9491","-48.4791",,
"70","35","São Paulo","SP","03","Araçatuba","017","Araçatuba","06201",3506201,"Bento de Abreu","-21.2686","-50.814",,
"71","35","São Paulo","SP","10","Assis","040","Ourinhos","06300",3506300,"Bernardino de Campos","-23.0164","-49.4679",,
"72","35","São Paulo","SP","15","Metropolitana de São Paulo","063","Santos","06359",3506359,"Bertioga","-23.8486","-46.1396",,
"73","35","São Paulo","SP","03","Araçatuba","018","Birigui","06409",3506409,"Bilac","-21.404","-50.4746",,
"74","35","São Paulo","SP","03","Araçatuba","018","Birigui","06508",3506508,"Birigui","-21.291","-50.3432","Birigui",5
"75","35","São Paulo","SP","15","Metropolitana de São Paulo","062","Mogi das Cruzes","06607",3506607,"Biritiba Mirim","-23.5698","-46.0407",,
"76","35","São Paulo","SP","05","Araraquara","024","Araraquara","06706",3506706,"Boa Esperança do Sul","-21.9918","-48.3906",,
"77","35","São Paulo","SP","04","Bauru","021","Jaú","06805",3506805,"Bocaina","-22.1365","-48.523",,
"78","35","São Paulo","SP","04","Bauru","023","Botucatu","06904",3506904,"Bofete","-23.1055","-48.2582",,
"79","35","São Paulo","SP","11","Itapetininga","043","Tatuí","07001",3507001,"Boituva","-23.2855","-47.6786","Boituva",1
"80","35","São Paulo","SP","12","Macro Metropolitana Paulista","048","Bragança Paulista","07100",3507100,"Bom Jesus dos Perdões","-23.1356","-46.4675",,
"81","35","São Paulo","SP","11","Itapetininga","041","Itapeva","07159",3507159,"Bom Sucesso de Itararé","-24.3155","-49.1451",,
"82","35","São Paulo","SP","10","Assis","039","Assis","07209",3507209,"Borá","-22.2696","-50.5409","Borá",1
"83","35","São Paulo","SP","04","Bauru","021","Jaú","07308",3507308,"Boracéia","-22.1926","-48.7808","Boracéia",1
"84","35","São Paulo","SP","05","Araraquara","024","Araraquara","07407",3507407,"Borborema","-21.6214","-49.0741",,
"85","35","São Paulo","SP","04","Bauru","020","Bauru","07456",3507456,"Borebi","-22.5728","-48.9707",,
"86","35","São Paulo","SP","04","Bauru","023","Botucatu","07506",3507506,"Botucatu","-22.8837","-48.4437",,
"87","35","São Paulo","SP","12","Macro Metropolitana Paulista","048","Bragança Paulista","07605",3507605,"Bragança Paulista","-22.9527","-46.5419","Bragança Paulista",34
"88","35","São Paulo","SP","03","Araçatuba","018","Birigui","07704",3507704,"Braúna","-21.499","-50.3175",,
"89","35","São Paulo","SP","03","Araçatuba","018","Birigui","07753",3507753,"Brejo Alegre","-21.1651","-50.1861",,
"90","35","São Paulo","SP","02","Ribeirão Preto","014","Ribeirão Preto","07803",3507803,"Brodowski","-20.9845","-47.6572",,
"91","35","São Paulo","SP","06","Piracicaba","026","Rio Claro","07902",3507902,"Brotas","-22.2795","-48.1251",,
"92","35","São Paulo","SP","11","Itapetininga","041","Itapeva","08009",3508009,"Buri","-23.7977","-48.5958","Buri",1
"93","35","São Paulo","SP","03","Araçatuba","018","Birigui","08108",3508108,"Buritama","-21.0661","-50.1475","Buritama",2
"94","35","São Paulo","SP","02","Ribeirão Preto","011","Ituverava","08207",3508207,"Buritizal","-20.1911","-47.7096",,
"95","35","São Paulo","SP","04","Bauru","020","Bauru","08306",3508306,"Cabrália Paulista","-22.4576","-49.3393",,
"96","35","São Paulo","SP","12","Macro Metropolitana Paulista","046","Sorocaba","08405",3508405,"Cabreúva","-23.3053","-47.1362","Cabreúva",28
"97","35","São Paulo","SP","13","Vale do Paraíba Paulista","050","São José dos Campos","08504",3508504,"Caçapava","-23.0992","-45.7076","Caçapava",2
"98","35","São Paulo","SP","13","Vale do Paraíba Paulista","051","Guaratinguetá","08603",3508603,"Cachoeira Paulista","-22.6665","-45.0154","Cachoeira Paulista",3
"99","35","São Paulo","SP","07","Campinas","030","São João da Boa Vista","08702",3508702,"Caconde","-21.528","-46.6437","Caconde",1
"100","35","São Paulo","SP","04","Bauru","019","Lins","08801",3508801,"Cafelândia","-21.8031","-49.6092",,
"101","35","São Paulo","SP","08","Presidente Prudente","036","Presidente Prudente","08900",3508900,"Caiabu","-22.0127","-51.2394",,
"102","35","São Paulo","SP","15","Metropolitana de São Paulo","058","Franco da Rocha","09007",3509007,"Caieiras","-23.3607","-46.7397",,
"103","35","São Paulo","SP","08","Presidente Prudente","036","Presidente Prudente","09106",3509106,"Caiuá","-21.8322","-51.9969",,
"104","35","São Paulo","SP","15","Metropolitana de São Paulo","057","Osasco","09205",3509205,"Cajamar","-23.355","-46.8781","Cajamar",1
"105","35","São Paulo","SP","14","Litoral Sul Paulista","055","Registro","09254",3509254,"Cajati","-24.7324","-48.1223",,
"106","35","São Paulo","SP","01","São José do Rio Preto","005","Catanduva","09304",3509304,"Cajobi","-20.8773","-48.8063",,
"107","35","São Paulo","SP","02","Ribeirão Preto","015","Batatais","09403",3509403,"Cajuru","-21.2749","-47.303",,
"108","35","São Paulo","SP","11","Itapetininga","042","Itapetininga","09452",3509452,"Campina do Monte Alegre","-23.5895","-48.4758",,
"109","35","São Paulo","SP","07","Campinas","032","Campinas","09502",3509502,"Campinas","-22.9053","-47.0659","Campinas",15
"110","35","São Paulo","SP","12","Macro Metropolitana Paulista","047","Jundiaí","09601",3509601,"Campo Limpo Paulista","-23.2078","-46.7889",,
"111","35","São Paulo","SP","13","Vale do Paraíba Paulista","049","Campos do Jordão","09700",3509700,"Campos do Jordão","-22.7296","-45.5833",,
"112","35","São Paulo","SP","10","Assis","039","Assis","09809",3509809,"Campos Novos Paulista","-22.602","-49.9987",,
"113","35","São Paulo","SP","14","Litoral Sul Paulista","055","Registro","09908",3509908,"Cananéia","-25.0144","-47.9341","Cananéia",1
"114","35","São Paulo","SP","13","Vale do Paraíba Paulista","051","Guaratinguetá","09957",3509957,"Canas","-22.7003","-45.0521","Canas",3
"115","35","São Paulo","SP","10","Assis","039","Assis","10005",3510005,"Cândido Mota","-22.7471","-50.3873","Cândido Mota",3
"116","35","São Paulo","SP","02","Ribeirão Preto","013","Jaboticabal","10104",3510104,"Cândido Rodrigues","-21.3275","-48.6327",,
"117","35","São Paulo","SP","10","Assis","040","Ourinhos","10153",3510153,"Canitar","-23.004","-49.7839",,
"118","35","São Paulo","SP","11","Itapetininga","044","Capão Bonito","10203",3510203,"Capão Bonito","-24.0113","-48.3482",,
"119","35","São Paulo","SP","12","Macro Metropolitana Paulista","046","Sorocaba","10302",3510302,"Capela do Alto","-23.4685","-47.7388","Capela do Alto",1
"120","35","São Paulo","SP","06","Piracicaba","028","Piracicaba","10401",3510401,"Capivari","-22.9951","-47.5071","Capivari",1
"121","35","São Paulo","SP","13","Vale do Paraíba Paulista","054","Caraguatatuba","10500",3510500,"Caraguatatuba","-23.6125","-45.4125",,
"122","35","São Paulo","SP","15","Metropolitana de São Paulo","057","Osasco","10609",3510609,"Carapicuíba","-23.5235","-46.8407",,
"123","35","São Paulo","SP","01","São José do Rio Preto","003","Votuporanga","10708",3510708,"Cardoso","-20.08","-49.9183",,
"124","35","São Paulo","SP","07","Campinas","030","São João da Boa Vista","10807",3510807,"Casa Branca","-21.7708","-47.0852",,
"125","35","São Paulo","SP","02","Ribeirão Preto","015","Batatais","10906",3510906,"Cássia dos Coqueiros","-21.2801","-47.1643",,
"126","35","São Paulo","SP","03","Araçatuba","016","Andradina","11003",3511003,"Castilho","-20.8689","-51.4884","Castilho",3
"127","35","São Paulo","SP","01","São José do Rio Preto","005","Catanduva","11102",3511102,"Catanduva","-21.1314","-48.977",,
"128","35","São Paulo","SP","01","São José do Rio Preto","005","Catanduva","11201",3511201,"Catiguá","-21.0519","-49.0616","Catiguá",2
"129","35","São Paulo","SP","01","São José do Rio Preto","004","São José do Rio Preto","11300",3511300,"Cedral","-20.9009","-49.2664",,
"130","35","São Paulo","SP","04","Bauru","022","Avaré","11409",3511409,"Cerqueira César","-23.038","-49.1655",,
"131","35","São Paulo","SP","11","Itapetininga","043","Tatuí","11508",3511508,"Cerquilho","-23.1665","-47.7459",,
"132","35","São Paulo","SP","11","Itapetininga","043","Tatuí","11607",3511607,"Cesário Lange","-23.226","-47.9545","Cesário Lange",7
"133","35","São Paulo","SP","06","Piracicaba","028","Piracicaba","11706",3511706,"Charqueada","-22.5096","-47.7755","Charqueada",3
"134","35","São Paulo","SP","10","Assis","040","Ourinhos","57204",3557204,"Chavantes","-23.0366","-49.7096",,
"135","35","São Paulo","SP","03","Araçatuba","018","Birigui","11904",3511904,"Clementina","-21.5604","-50.4525",,
"136","35","São Paulo","SP","02","Ribeirão Preto","009","Barretos","12001",3512001,"Colina","-20.7114","-48.5387",,
"137","35","São Paulo","SP","02","Ribeirão Preto","009","Barretos","12100",3512100,"Colômbia","-20.1768","-48.6865",,
"138","35","São Paulo","SP","06","Piracicaba","027","Limeira","12209",3512209,"Conchal","-22.3375","-47.1729",,
"139","35","São Paulo","SP","04","Bauru","023","Botucatu","12308",3512308,"Conchas","-23.0154","-48.0134","Conchas",29
"140","35","São Paulo","SP","06","Piracicaba","027","Limeira","12407",3512407,"Cordeirópolis","-22.4778","-47.4519","Cordeirópolis",9
"141","35","São Paulo","SP","03","Araçatuba","018","Birigui","12506",3512506,"Coroados","-21.3521","-50.2859","Coroados",1
"142","35","São Paulo","SP","11","Itapetininga","041","Itapeva","12605",3512605,"Coronel Macedo","-23.6261","-49.31","Coronel Macedo",2
"143","35","São Paulo","SP","06","Piracicaba","026","Rio Claro","12704",3512704,"Corumbataí","-22.2213","-47.6215","Corumbataí",7
"144","35","São Paulo","SP","07","Campinas","032","Campinas","12803",3512803,"Cosmópolis","-22.6419","-47.1926",,
"145","35","São Paulo","SP","01","São José do Rio Preto","003","Votuporanga","12902",3512902,"Cosmorama","-20.4755","-49.7827",,
"146","35","São Paulo","SP","15","Metropolitana de São Paulo","060","Itapecerica da Serra","13009",3513009,"Cotia","-23.6022","-46.919",,
"147","35","São Paulo","SP","02","Ribeirão Preto","014","Ribeirão Preto","13108",3513108,"Cravinhos","-21.338","-47.7324",,
"148","35","São Paulo","SP","02","Ribeirão Preto","012","Franca","13207",3513207,"Cristais Paulista","-20.4036","-47.4209",,
"149","35","São Paulo","SP","10","Assis","039","Assis","13306",3513306,"Cruzália","-22.7373","-50.7909","Cruzália",1
"150","35","São Paulo","SP","13","Vale do Paraíba Paulista","051","Guaratinguetá","13405",3513405,"Cruzeiro","-22.5728","-44.969","Cruzeiro",2
"151","35","São Paulo","SP","15","Metropolitana de São Paulo","063","Santos","13504",3513504,"Cubatão","-23.8911","-46.424",,
"152","35","São Paulo","SP","13","Vale do Paraíba Paulista","053","Paraibuna/Paraitinga","13603",3513603,"Cunha","-23.0731","-44.9576","Cunha",1
"153","35","São Paulo","SP","05","Araraquara","025","São Carlos","13702",3513702,"Descalvado","-21.9002","-47.6181",,
"154","35","São Paulo","SP","15","Metropolitana de São Paulo","061","São Paulo","13801",3513801,"Diadema","-23.6813","-46.6205","Diadema",1
"155","35","São Paulo","SP","01","São José do Rio Preto","001","Jales","13850",3513850,"Dirce Reis","-20.4642","-50.6073",,
"156","35","São Paulo","SP","07","Campinas","030","São João da Boa Vista","13900",3513900,"Divinolândia","-21.6637","-46.7361",,
"157","35","São Paulo","SP","05","Araraquara","024","Araraquara","14007",3514007,"Dobrada","-21.5155","-48.3935",,
"158","35","São Paulo","SP","04","Bauru","021","Jaú","14106",3514106,"Dois Córregos","-22.3673","-48.3819",,
"159","35","São Paulo","SP","01","São José do Rio Preto","001","Jales","14205",3514205,"Dolcinópolis","-20.124","-50.5149",,
"160","35","São Paulo","SP","05","Araraquara","025","São Carlos","14304",3514304,"Dourado","-22.1044","-48.3178",,
"161","35","São Paulo","SP","08","Presidente Prudente","034","Dracena","14403",3514403,"Dracena","-21.4843","-51.535",,
"162","35","São Paulo","SP","04","Bauru","020","Bauru","14502",3514502,"Duartina","-22.4146","-49.4084",,
"163","35","São Paulo","SP","02","Ribeirão Preto","014","Ribeirão Preto","14601",3514601,"Dumont","-21.2324","-47.9756",,
"164","35","São Paulo","SP","09","Marília","038","Marília","14700",3514700,"Echaporã","-22.4326","-50.2038",,
"165","35","São Paulo","SP","14","Litoral Sul Paulista","055","Registro","14809",3514809,"Eldorado","-24.5281","-48.1141",,
